"","word","freq"
"follow:","follow:",1
"why:","why:",1
"🤗","🤗",1
"annoying","annoying",1
"comment:","comment:",1
"omg!!!!","omg!!!!",1
"purge","purge",1
"showing","showing",1
"siren","siren",1
"siren!!!!!😵‍💫😭","siren!!!!!😵‍💫😭",1
"testing","testing",1
"thought","thought",1
"tok:","tok:",1
"y’all","y’all",1
"@itsr_a_e:","@itsr_a_e:",1
"cannot","cannot",1
"change","change",1
"idea","idea",1
"section????","section????",1
"stand","stand",1
"tok’s","tok’s",1
"whose","whose",1
"doing","doing",1
"face","face",1
"fraternity.","fraternity.",1
"she's","she's",1
"stepping","stepping",1
"stink","stink",1
"story.","story.",1
"twerks","twerks",1
"@buczek_lech:","@buczek_lech:",1
"@serjtankian","@serjtankian",1
"ht…","ht…",1
"telegram,","telegram,",1
"vibe!","vibe!",1
"whatsapp,","whatsapp,",1
"://t.co/qjfvpvbjcz","://t.co/qjfvpvbjcz",1
"acc…","acc…",1
"label","label",1
"😂😂😂😂😂😂😂😂😂😂😂😂😂😂","😂😂😂😂😂😂😂😂😂😂😂😂😂😂",1
"(tik","(tik",1
"://t.co/dhvyqn","://t.co/dhvyqn",1
"@youtube","@youtube",1
"deh","deh",1
"fur...","fur...",1
"paul,","paul,",1
"remix","remix",1
"sean","sean",1
"shaggy","shaggy",1
"spice,","spice,",1
"://t.co/uyngffhuy","://t.co/uyngffhuy",1
"@anagarc","@anagarc",1
"@anesterova","@anesterova",1
"@freemindgo","@freemindgo",1
"@freespe…","@freespe…",1
"@ganguskhan","@ganguskhan",1
"@giobegood","@giobegood",1
"@tibimagyari","@tibimagyari",1
"@valere_ia","@valere_ia",1
"deleted","deleted",1
"gotta","gotta",1
"insta..","insta..",1
"snap","snap",1
"stick","stick",1
