,scores
321,13.2
172,27.8
215,100.0
216,100.0
381,18.0
4,34.6
351,11.2
316,18.6
55,11.0
403,22.0
56,100.0
590,14.4
533,8.3
359,8.3
518,14.9
400,34.6
512,100.0
515,11.2
428,34.6
6,34.6
185,30.3
165,23.3
433,100.0
445,11.3
553,17.0
405,11.3
67,100.0
431,86.0
563,100.0
157,17.0
591,7.2
545,100.0
171,6.8
469,27.8
525,12.7
324,100.0
492,7.2
190,100.0
266,100.0
337,12.8
482,30.3
556,28.7
286,14.0
463,100.0
292,40.4
160,28.7
342,31.0
371,30.3
419,14.9
69,100.0
451,11.0
589,40.4
444,100.0
366,100.0
474,20.4
443,10.9
480,18.0
497,100.0
385,14.0
241,14.9
408,100.0
411,100.0
66,23.3
20,11.2
50,100.0
375,20.4
587,100.0
352,11.0
489,100.0
123,13.2
503,100.0
457,28.7
509,34.6
542,10.9
464,100.0
467,16.0
364,100.0
139,12.8
368,16.0
235,100.0
152,5.1
92,100.0
11,19.4
54,11.2
312,100.0
422,34.6
349,100.0
178,23.1
491,14.4
379,29.5
333,8.9
564,100.0
293,14.4
473,2.8
2,100.0
380,100.0
135,8.9
416,11.2
280,29.5
128,100.0
505,100.0
249,34.2
326,100.0
14,34.6
585,10.8
164,10.0
527,34.6
434,8.3
226,100.0
289,100.0
488,100.0
285,16.7
502,22.0
0,100.0
29,100.0
331,37.5
138,14.3
308,19.4
149,100.0
