,scores
479,100.0
103,34.6
490,40.4
275,2.8
263,10.0
82,29.5
552,8.3
547,100.0
521,34.6
129,12.7
302,34.6
84,18.0
340,14.9
232,37.5
204,34.6
566,16.0
325,100.0
115,10.6
336,14.3
522,100.0
125,34.6
10,100.0
127,100.0
404,100.0
551,100.0
267,100.0
186,16.7
358,28.7
288,10.8
217,18.6
15,100.0
573,20.4
207,11.3
142,14.9
529,37.5
449,5.1
386,100.0
575,16.9
406,100.0
183,18.0
25,34.6
300,10.7
201,10.7
278,16.9
511,10.6
538,14.9
53,5.1
417,100.0
222,13.2
426,12.7
181,29.5
245,10.9
582,16.7
314,100.0
221,14.9
296,10.9
581,30.3
456,12.2
584,100.0
260,8.3
407,19.4
537,11.2
12,100.0
43,14.9
273,14.9
91,100.0
265,100.0
306,11.3
198,100.0
264,23.3
549,11.2
63,8.3
51,34.2
530,86.0
495,100.0
548,5.1
256,17.0
554,15.8
348,34.2
42,11.2
233,86.0
524,100.0
206,100.0
229,34.6
106,22.0
200,100.0
219,100.0
177,20.4
485,100.0
279,28.9
187,14.0
71,16.0
46,11.5
510,100.0
60,12.2
363,23.3
322,34.6
459,8.3
148,11.3
121,100.0
7,22.0
298,6.6
384,16.7
248,100.0
391,40.4
93,100.0
429,34.6
99,100.0
154,11.0
341,9.4
389,100.0
572,2.8
528,34.6
237,14.3
105,34.6
319,100.0
196,11.2
86,30.3
536,6.9
57,8.3
481,100.0
210,100.0
3,10.7
202,34.6
332,86.0
13,34.6
323,34.6
64,15.1
570,14.9
513,100.0
218,11.2
592,11.2
18,100.0
420,13.2
432,8.9
346,11.3
179,16.9
