,text,neg,neu,pos,compound
0,RT @LittleBirbMame: @aungaung1124 ตอบให้ตรงคำถามก่อนค่ะว่าทำไมไม่เคารพสิทธิ์เด็ก Unicef ประกาศแล้วนะคะว่า Privacy เป็นสิทธิที่เด็กควรมี,0.0,1.0,0.0,0.0
1,RT @LittleBirbMame: @yamyummy ประทับใจความดักดานมาก Unicef UN บอกว่าพ่อแม่มีหน้าที่ที่จะปกป้อง Privacy ของลูก ส่วนดาราไทยละเมิด Privacy ลูก…,0.0,1.0,0.0,0.0
2,"RT @angel_packsss: 🎉PROMOÇÕES QUE ESTÃO ROLANDO🎉:

pack masturbacão: 10 reais 

PRIVACY (+95 midias): 20 reais

avaliação de texto: 15 reai…",0.0,1.0,0.0,0.0
3,"RT @wayydaminn: I love my privacy, not everything is worth sharing.",0.03,0.844,0.126,0.7457
4,"RT @sapph7c: Hawaii is an island with even smaller population than Qatar but when taehyung went there, nobody leaked pictures of him. he we…",0.054,0.889,0.057,0.0559
5,RT @LittleBirbMame: @yamyummy ประทับใจความดักดานมาก Unicef UN บอกว่าพ่อแม่มีหน้าที่ที่จะปกป้อง Privacy ของลูก ส่วนดาราไทยละเมิด Privacy ลูก…,0.047,0.903,0.05,0.0559
6,RT @LittleBirbMame: คนที่สนับสนุนให้ทำแบบนี้คืออะไรอ่ะ เป็นการละเมิด Privacy ของมนุษย์คนนึง เอาชีวิตเค้ามาโชว์ให้ทุกคนดูแบบไม่ได้ขอ Consent…,0.043,0.911,0.046,0.0559
7,"RT @fvckkmiku: 🧡 ULTIMO DIA DO MEU PRIVACY POR R$12,90!!!!!🧡

🧡 ULTIMO DIA DO MEU PRIVACY POR R$12,90!!!!!🧡

🧡 ULTIMO DIA DO MEU PRIVACY PO…",0.035,0.918,0.046,0.3367
8,"RT @wayydaminn: I love my privacy, not everything is worth sharing.",0.045,0.847,0.108,0.8976
9,"@sallygoneawalki I would guess that it would depend upon which state you live in. My Governor, @GovJanetMills would support your right to privacy. 
#mepolitics #MillsforME #VoteBlue2022",0.037,0.851,0.111,0.9375
10,RT @LittleBirbMame: คนที่สนับสนุนให้ทำแบบนี้คืออะไรอ่ะ เป็นการละเมิด Privacy ของมนุษย์คนนึง เอาชีวิตเค้ามาโชว์ให้ทุกคนดูแบบไม่ได้ขอ Consent…,0.036,0.858,0.106,0.9375
11,"@myaccessbank @access_more  I made this complaint and how it affected my life but you choose to ignore that you infringed on my privacy which its one of your policy to uphold. 
I need to know the staff that did that and why. @officialEFCC",0.066,0.85,0.084,0.7927
12,RT @princess_adraud: Já foram conferir essa rana gostosa no meu privacy? https://t.co/Rten5XHkcS,0.074,0.847,0.079,0.6412
13,Wild koda?? sign me up 0_0 @xLucasPascual @theycallmeCAD @_arkashi @kurtfrenier @Jonnymban @RainHeartWisdom @Z_u_l_u_i_n_k @liquidx @ZavenAslanian @Privacy_Power https://t.co/hjouqPy3np,0.069,0.855,0.076,0.6981
14,"RT @demahomhemad: @CNN Artificial Intelligence at Any Cost Is a Recipe for Tyranny
https://t.co/KZE9RxiHOQ
Via @aclu",0.064,0.85,0.086,0.8728
15,"RT @yasminbackupp: Subscribe to my platforms to see my daily content, everything as if it were for you!

OnlyFans e Privacy 🇧🇷

Vem me ver,…",0.059,0.862,0.079,0.8728
16,"RT @AnnaBrennet: Quartou amores 🌼
• Privacy atualizado com novo Pack Scat +10 min 🥵 novos assinantes ganham 15 min de chamada 🎥
• 3 Packs R…",0.055,0.871,0.074,0.8728
17,RT @glennkirschner2: Poor Justice Alito. He’s  bellyaching about how hard it was on HIM when his draft opinion revoking women’s constitutio…,0.067,0.852,0.081,0.8682
18,"Had to do a Teams call today with a vendor. Teams won't run in a Brave browser unless I turn off all of the privacy settings.

I feel like I can picture the exact leader in Teams who thinks this is cool.",0.069,0.843,0.088,0.9064
19,"RT @yasmiiiin27: Escapou. 😮‍💨 

Mídias assim, no meu VIP, Onlyfans e Privacy. 

Vem me ver toda putinha, vem. 😈👍🏻 https://t.co/ClD9dDFuNu",0.072,0.832,0.096,0.9438
20,"RT @joarretado: 137 posts; 547 photos; 326 videos, 161 likes, no editing! 🤑
🔗https://t.co/qsdPKtEYVo…
🔗https://t.co/QbK2CZKk7C
🔗https://t.c…",0.075,0.825,0.1,0.9514
21,RT @LittleBirbMame: @aungaung1124 ตอบให้ตรงคำถามก่อนค่ะว่าทำไมไม่เคารพสิทธิ์เด็ก Unicef ประกาศแล้วนะคะว่า Privacy เป็นสิทธิที่เด็กควรมี,0.074,0.828,0.099,0.9514
22,RT @bblivery: ดาราไทยส่วนใหญ่มันเคยสนใจ privacy เด็กซะที่ไหนอะ ยกเคสปุ้มปุ้ยปกป้องสิทธิลูกแทบตาย คนไทยรุมด่า พอเป็นบีมเปิดหน้าลูกให้ดูตั้งแ…,0.072,0.831,0.097,0.9514
23,"RT @sakak_musdom: @richardker Privacy concerns aside, the biggest problem with cashless is bail-ins. Malaysians must avoid fully relying on…",0.082,0.826,0.092,0.8913
24,"RT @toastmylove: The way to support is being willing to embrace whatever he wants to tell, stressing is inappropriate and I can’t care less…",0.083,0.809,0.107,0.9593
25,"RT @honeymoonluve: Pack novo na área, vem gozar com essa Hinata safadinha 

Quase 20 mídias desse pack free lá no Privacy https://t.co/Z6Xw…",0.084,0.805,0.11,0.9675
26,"RT @bojourneys2237: ดราม่านี้วนมาอีกแล้ว หัวข้อวิจัยเล่มจบ
ป.โท ของเราเอง หลังจากรันสถิติ
ผล SPSSออกมาชัดเจน 
ตามในรีพลายทวีตนี้เลย
คือคนไท…",0.083,0.809,0.108,0.9675
27,RT @stellelucevan: แต่เค้าละเมิด privacy เด็กค่ะ,0.082,0.811,0.107,0.9675
28,RT @LittleBirbMame: @yamyummy ประทับใจความดักดานมาก Unicef UN บอกว่าพ่อแม่มีหน้าที่ที่จะปกป้อง Privacy ของลูก ส่วนดาราไทยละเมิด Privacy ลูก…,0.08,0.815,0.105,0.9675
29,"RT @Yourw41futv_: Promoção de Halloween no 🧡 Privacy 🧡 por R$20 mensal para meus seguidores 🇧🇷 ~

Disponível até 31/10, então aproveitem es…",0.082,0.817,0.101,0.9584
30,"RT @bunny_tgirl: Do you want sit here? 💦🍆
♡ ONLYFANS https://t.co/wbyt2ELgCT
♡ PRIVACY https://t.co/sjlIkV9yVr https://t.co/EJ2IjagrMZ",0.08,0.818,0.102,0.9632
31,"RT @angel_packsss: 🎉PROMOÇÕES QUE ESTÃO ROLANDO🎉:

pack masturbacão: 10 reais 

PRIVACY (+95 midias): 20 reais

avaliação de texto: 15 reai…",0.077,0.824,0.098,0.9632
32,"RT @Neguinhteusonho: Qm gosta de fude nos mato? 🌿🍑

@Adilson_santos9 

Assinem nosso privacy 🔓📲 https://t.co/iSiS0LWGwJ

Promoção disponíve…",0.075,0.829,0.096,0.9632
33,"RT @wayydaminn: I love my privacy, not everything is worth sharing.",0.076,0.816,0.108,0.9824
34,"RT @Neguinhteusonho: Qm gosta de fude nos mato? 🌿🍑

@Adilson_santos9 

Assinem nosso privacy 🔓📲 https://t.co/iSiS0LWGwJ

Promoção disponíve…",0.074,0.821,0.105,0.9824
35,"RT @tempestadepv: ✨ atualizei o privacy ✨

Vídeo gostoso demais passando hidratante no meu corpinho com a bceta peludinha falando bastante…",0.076,0.822,0.102,0.979
36,"RT @swlover4: Privacy por apenas R$30, com MAIS de 160 mídias 🔥🔥(aceita pix) https://t.co/HoK4G7XG0v 

OF por apenas $6🔥🔥
https://t.co/jY5G…",0.074,0.827,0.099,0.979
37,"RT @sapph7c: Hawaii is an island with even smaller population than Qatar but when taehyung went there, nobody leaked pictures of him. he we…",0.076,0.829,0.096,0.9739
38,RT @sapph7c: respecting someone's privacy isn't limited to the country or type of people they come across. it's basic fucking knowledge and…,0.073,0.826,0.101,0.9833
39,"RT @Chloewaifu: 😈Posso dançar assim de 4 para você?

🇧🇷 Assine meu privacy link nos comentários 💋 https://t.co/pxqp0EaMIi",0.072,0.83,0.099,0.9833
40,"RT @indprivacy: 💗 PRIVACY POR R$14 💗 
Semana de promoção no meu privacy, aproveitem pra ter acesso a todos meus conteúdos mais gostosos e c…",0.073,0.831,0.096,0.9801
41,"RT @JennyGlover40: This is my NO to self id. Women need same sex spaces for safety, privacy and dignity #NoToSelfID #ThisIsMyNo #nomeninwom…",0.075,0.824,0.101,0.9841
42,RT @JaooBarcelox: Vídeos novos só passar lá no site🏃🏻‍♂️💨https://t.co/nse75XYOVL https://t.co/MKDX5gQx0p,0.077,0.823,0.1,0.9812
43,"RT @HelenHalpin7: Why vote? What’s this election even about?

It’s about women’s rights — to reproductive choice &amp; privacy.

It’s about Soc…",0.075,0.827,0.097,0.9812
44,RT @w8vendor: ฟิล์มแบบ privacy คือกันคนขี้เสือกได้จริง เล่นบน bts ก็ไม่ต้องมาระแวงใคร ไม่มีใครมาเห็นเงินในบัญชีนอกจากเรา มีบล็อคให้ติดเองด้…,0.075,0.829,0.096,0.9812
45,"RT @bojourneys2237: ดราม่านี้วนมาอีกแล้ว หัวข้อวิจัยเล่มจบ
ป.โท ของเราเอง หลังจากรันสถิติ
ผล SPSSออกมาชัดเจน 
ตามในรีพลายทวีตนี้เลย
คือคนไท…",0.074,0.831,0.095,0.9812
46,"RT @bunny_tgirl: Come with me 🐰💖
♡ ONLYFANS https://t.co/wbyt2ELgCT
♡ PRIVACY https://t.co/sjlIkV9yVr https://t.co/m31Cebz52z",0.073,0.834,0.094,0.9812
47,"RT @Escorpiao1997: Someone to suck my dick?

Onlyfans $5,99🔥

https://t.co/E8rrU67EMX

Privacy R$25,00 🇧🇷

https://t.co/q327pUi6vX

My seco…",0.08,0.829,0.091,0.9606
48,"RT @talita288160182: Meu amor sentando no pau do amante fixo quer ver os vídeos desse encontro acesse o link
https://t.co/imMarv8mys https:…",0.081,0.825,0.095,0.9722
49,"RT @ProtonPrivacy: Like with @ProtonMail there is a free version of @ProtonDrive, because we believe everyone has a right to privacy. Our m…",0.079,0.821,0.1,0.9846
50,"RT @dusa_ue: Primeira vez com plug anal🫣🔥

- 🔥Incluso na assinatura do privacy esse e outros vídeos…
             •R$20,00•

- 🔥Disponível…",0.077,0.824,0.098,0.9846
51,"semoga dia gak ngurusin komen2 gt sih ya, anaknya sih gak bakal peduli cuma takut yang diserbu ceweknya, semoga tidak. let's leave something that's not ur bussiness. give them some privacy ok :)",0.075,0.821,0.104,0.9905
52,"RT @sapph7c: Hawaii is an island with even smaller population than Qatar but when taehyung went there, nobody leaked pictures of him. he we…",0.076,0.822,0.101,0.9891
53,"RT @malokaparaibano: E ai, a fim de um trisal? 👅😏

👇🏻VIDEO COMPLETO ASSINE👇🏻
https://t.co/2gj6WxO7EW https://t.co/1056pR4W6I",0.075,0.825,0.1,0.9891
54,RT @bloomingcurious: Young woman in the hospital cafeteria broke my heart. She was trying to eat but had to constantly wipe the tears off h…,0.079,0.824,0.097,0.9848
55,"@lou_lulu3795 Hello Lou.. how are you doing... ? I was searchin for my old friends when I stumbled across your profile. You look beautiful,  you worth talkin to. I'm so sorry for breakin into your privacy. can we be friends?.",0.079,0.819,0.102,0.9901
